Wyniki estymacji parametrow modelu ze wspolnym wyrazem wolnym (pooling regression) (w tym V(b^))
"";"OcenaParametru";"BladOceny";"|ocena/blad|";"Pr(>|t_emp|)  ";"(Intercept)";"Xliczba_egzekucji";"Xstopa_bezrobocie"
"(Intercept)";1,12173570112075;2,71155895566482;0,413686635423246;0,679694478504826;7,35255197004608;0,0297211748621992;-1,14757014350543
"Xliczba_egzekucji";-0,00187982603105766;0,195622348024765;0,00960946461403113;0,992345643136817;0,0297211748621992;0,0382681030467224;-0,0128479517744833
"Xstopa_bezrobocie";1,16372452677795;0,44131929122464;2,63692195178839;0,00924707493183126;-1,14757014350543;-0,0128479517744833;0,194762716807019
 
