Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-07-13,29.638,29.972,29.007,29.465,1843856
2015-07-14,29.456,29.523,28.759,29.265,1239776
2015-07-15,29.408,29.628,28.998,29.628,1310288
2015-07-16,29.733,30.077,29.504,29.924,2399932
2015-07-17,29.924,30.02,29.341,29.523,1191067
2015-07-20,29.332,29.428,28.539,28.568,1335085
2015-07-21,28.663,28.892,27.985,28.701,1576680
2015-07-22,28.644,28.672,27.526,27.526,3139898
2015-07-23,27.707,28.147,27.316,28.147,2625828
2015-07-24,28.023,28.223,27.393,27.393,3189571
2015-07-27,27.316,27.45,26.857,27.201,2458660
2015-07-28,27.23,27.765,27.067,27.707,3565355
2015-07-29,27.774,28.978,27.66,27.679,5162750
2015-07-30,27.803,28.061,27.201,27.603,2187756
2015-07-31,27.593,28.156,27.478,27.917,2316775
2015-08-03,27.841,28.472,27.736,28.376,1302510
2015-08-04,28.367,28.549,27.909,27.909,1666006
2015-08-05,27.985,28.462,27.985,28.462,1263028
2015-08-06,27.469,27.517,25.252,26.379,11825527
2015-08-07,26.465,26.791,25.796,25.796,2120361
2015-08-10,25.988,27.087,25.988,26.943,2344670
2015-08-11,26.848,27.373,26.58,26.838,2952649
2015-08-12,26.743,26.771,26.294,26.733,1560982
2015-08-13,26.81,27.66,26.81,27.469,4273587
2015-08-14,27.421,27.536,26.657,26.704,2464459
2015-08-17,26.704,27.038,26.227,26.657,1264419
2015-08-18,26.657,27.03,26.465,26.475,1678577
2015-08-19,26.943,27.621,26.485,27.373,5104045
2015-08-20,27.23,27.612,26.943,27.469,3043195
2015-08-21,26.895,27.909,26.819,27.344,2960833
2015-08-24,26.465,27.038,25.28,25.988,4439277
2015-08-25,25.988,27.096,25.94,26.447,3662101
2015-08-26,26.322,26.991,26.322,26.886,2345885
2015-08-27,26.895,27.66,26.895,27.564,3899570
2015-08-28,27.698,28.28,27.421,28.205,4629138
2015-08-31,28.166,28.415,27.851,28.415,3355630
2015-09-01,28.109,28.243,27.421,27.517,2257916
2015-09-02,27.612,27.841,27.469,27.469,2026144
2015-09-03,27.67,28.635,27.65,28.577,3657312
2015-09-04,28.519,28.663,27.946,28.099,3986028
2015-09-07,28.214,28.357,27.793,27.87,1578265
2015-09-08,27.832,28.09,27.326,27.756,2592542
2015-09-09,28.07,28.186,27.373,27.373,2274438
2015-09-10,27.335,28.223,27.297,28.223,3868880
2015-09-11,28.233,29.236,28.09,28.72,3428703
2015-09-14,28.109,28.462,27.546,28.223,3406904
2015-09-15,28.329,28.806,28.252,28.376,2586342
2015-09-16,28.568,28.835,28.396,28.711,1550131
2015-09-17,28.482,29.179,28.462,29.141,2321615
2015-09-18,29.026,29.428,28.482,28.816,6048963
2015-09-21,28.625,28.998,28.472,28.625,1778078
2015-09-22,28.663,28.94,27.813,27.975,1764256
2015-09-23,27.88,28.72,27.631,27.88,1596410
2015-09-24,27.937,28.376,27.24,27.517,2795547
2015-09-25,27.746,28.156,27.603,27.756,1070313
